Date,month,year,power_MW
31,12,2004,13478
31,12,2004,12865
31,12,2004,12577
31,12,2004,12517
31,12,2004,12670
31,12,2004,13038
31,12,2004,13692
31,12,2004,14297
31,12,2004,14719
31,12,2004,14941
31,12,2004,15184
31,12,2004,15009
31,12,2004,14808
31,12,2004,14522
31,12,2004,14349
31,12,2004,14107
31,12,2004,14410
31,12,2004,15174
31,12,2004,15261
31,12,2004,14774
31,12,2004,14363
31,12,2004,14045
31,12,2004,13478
30,12,2004,14097
30,12,2004,13667
30,12,2004,13451
30,12,2004,13379
30,12,2004,13506
30,12,2004,14121
30,12,2004,15066
30,12,2004,15771
30,12,2004,16047
30,12,2004,16245
30,12,2004,16377
30,12,2004,16138
30,12,2004,15886
30,12,2004,15503
30,12,2004,15206
30,12,2004,15049
30,12,2004,15161
30,12,2004,16085
30,12,2004,16508
30,12,2004,16306
30,12,2004,16223
30,12,2004,15931
30,12,2004,15207
31,12,2004,14316
29,12,2004,15223
29,12,2004,14731
29,12,2004,14503
29,12,2004,14432
29,12,2004,14531
29,12,2004,15087
29,12,2004,16018
29,12,2004,16968
29,12,2004,17149
29,12,2004,17261
29,12,2004,17194
29,12,2004,17011
29,12,2004,16749
29,12,2004,16546
29,12,2004,16403
29,12,2004,16161
29,12,2004,16380
29,12,2004,17330
29,12,2004,17738
29,12,2004,17468
29,12,2004,17093
29,12,2004,16736
29,12,2004,15984
30,12,2004,14900
28,12,2004,17580
28,12,2004,17158
28,12,2004,17002
28,12,2004,16923
28,12,2004,17191
28,12,2004,17908
28,12,2004,18944
28,12,2004,19752
28,12,2004,19882
28,12,2004,19544
28,12,2004,19309
28,12,2004,18756
28,12,2004,18201
28,12,2004,17666
28,12,2004,17203
28,12,2004,16935
28,12,2004,17207
28,12,2004,18349
28,12,2004,18815
28,12,2004,18599
28,12,2004,18480
28,12,2004,18135
28,12,2004,17112
29,12,2004,16047
27,12,2004,16718
27,12,2004,16150
27,12,2004,16090
27,12,2004,16223
27,12,2004,16652
27,12,2004,17317
27,12,2004,18384
27,12,2004,19366
27,12,2004,19772
27,12,2004,19792
27,12,2004,19697
27,12,2004,19193
27,12,2004,18640
27,12,2004,18066
27,12,2004,17692
27,12,2004,17522
27,12,2004,17933
27,12,2004,19353
27,12,2004,20046
27,12,2004,20127
27,12,2004,20049
27,12,2004,19751
27,12,2004,19038
28,12,2004,18133
26,12,2004,15059
26,12,2004,14617
26,12,2004,14452
26,12,2004,14465
26,12,2004,14561
26,12,2004,14862
26,12,2004,15318
26,12,2004,15865
26,12,2004,16421
26,12,2004,16751
26,12,2004,16521
26,12,2004,16047
26,12,2004,15790
26,12,2004,15702
26,12,2004,15488
26,12,2004,15607
26,12,2004,16012
26,12,2004,17243
26,12,2004,17922
26,12,2004,18064
26,12,2004,18086
26,12,2004,17834
26,12,2004,17392
27,12,2004,16842
25,12,2004,16669
25,12,2004,16218
25,12,2004,16135
25,12,2004,16107
25,12,2004,16229
25,12,2004,16470
25,12,2004,16935
25,12,2004,17548
25,12,2004,17927
25,12,2004,17837
25,12,2004,17453
25,12,2004,16891
25,12,2004,15967
25,12,2004,15088
25,12,2004,14564
25,12,2004,14394
25,12,2004,14745
25,12,2004,15856
25,12,2004,16502
25,12,2004,16678
25,12,2004,16842
25,12,2004,16621
25,12,2004,16167
26,12,2004,15676
24,12,2004,15645
24,12,2004,15265
24,12,2004,15138
24,12,2004,15068
24,12,2004,15122
24,12,2004,15441
24,12,2004,15967
24,12,2004,16628
24,12,2004,17122
24,12,2004,17621
24,12,2004,17501
24,12,2004,17122
24,12,2004,16600
24,12,2004,16206
24,12,2004,15844
24,12,2004,15762
24,12,2004,16092
24,12,2004,17048
24,12,2004,17456
24,12,2004,17407
24,12,2004,17474
24,12,2004,17772
24,12,2004,17618
25,12,2004,17147
23,12,2004,15358
23,12,2004,14851
23,12,2004,14441
23,12,2004,14105
23,12,2004,14048
23,12,2004,14394
23,12,2004,15034
23,12,2004,15783
23,12,2004,16231
23,12,2004,16576
23,12,2004,16912
23,12,2004,16991
23,12,2004,16793
23,12,2004,16764
23,12,2004,16643
23,12,2004,16666
23,12,2004,16869
23,12,2004,17916
23,12,2004,18424
23,12,2004,18343
23,12,2004,18340
23,12,2004,18011
23,12,2004,17340
24,12,2004,16383
22,12,2004,15670
22,12,2004,15135
22,12,2004,14997
22,12,2004,14929
22,12,2004,15256
22,12,2004,16174
22,12,2004,17483
22,12,2004,18645
22,12,2004,18866
22,12,2004,18802
22,12,2004,18457
22,12,2004,18021
22,12,2004,17687
22,12,2004,17590
22,12,2004,17471
22,12,2004,17406
22,12,2004,17592
22,12,2004,18668
22,12,2004,19040
22,12,2004,18819
22,12,2004,18483
22,12,2004,18381
22,12,2004,17461
23,12,2004,16353
21,12,2004,18740
21,12,2004,18247
21,12,2004,17906
21,12,2004,17749
21,12,2004,17900
21,12,2004,18590
21,12,2004,19716
21,12,2004,20555
21,12,2004,20218
21,12,2004,19783
21,12,2004,19452
21,12,2004,18866
21,12,2004,18383
21,12,2004,17945
21,12,2004,17591
21,12,2004,17362
21,12,2004,17619
21,12,2004,18664
21,12,2004,19088
21,12,2004,18998
21,12,2004,18773
21,12,2004,18394
21,12,2004,17622
22,12,2004,16484
20,12,2004,19050
20,12,2004,18940
20,12,2004,19015
20,12,2004,19178
20,12,2004,19494
20,12,2004,20392
20,12,2004,21616
20,12,2004,22554
20,12,2004,22577
20,12,2004,22321
20,12,2004,22055
20,12,2004,21388
20,12,2004,21035
20,12,2004,20542
20,12,2004,20362
20,12,2004,20119
20,12,2004,20505
20,12,2004,21373
20,12,2004,22188
20,12,2004,22038
20,12,2004,21752
20,12,2004,21621
20,12,2004,20919
21,12,2004,19554
19,12,2004,14619
19,12,2004,14245
19,12,2004,14082
19,12,2004,14123
19,12,2004,14253
19,12,2004,14437
19,12,2004,15197
19,12,2004,16025
19,12,2004,16742
19,12,2004,17345
19,12,2004,17400
19,12,2004,17291
19,12,2004,17473
19,12,2004,17464
19,12,2004,17461
19,12,2004,17683
19,12,2004,18211
19,12,2004,19749
19,12,2004,20439
19,12,2004,20805
19,12,2004,20840
19,12,2004,20670
19,12,2004,20300
20,12,2004,19719
18,12,2004,16053
18,12,2004,15562
18,12,2004,15439
18,12,2004,15498
18,12,2004,15743
18,12,2004,16126
18,12,2004,16793
18,12,2004,17583
18,12,2004,18108
18,12,2004,18035
18,12,2004,17599
18,12,2004,17022
18,12,2004,16390
18,12,2004,15921
18,12,2004,15619
18,12,2004,15475
18,12,2004,16039
18,12,2004,17080
18,12,2004,17479
18,12,2004,17431
18,12,2004,17458
18,12,2004,17162
18,12,2004,16561
19,12,2004,15645
17,12,2004,15893
17,12,2004,15503
17,12,2004,15315
17,12,2004,15264
17,12,2004,15596
17,12,2004,16544
17,12,2004,18227
17,12,2004,19281
17,12,2004,19052
17,12,2004,18758
17,12,2004,18254
17,12,2004,17654
17,12,2004,17236
17,12,2004,16818
17,12,2004,16450
17,12,2004,16250
17,12,2004,16581
17,12,2004,17953
17,12,2004,18650
17,12,2004,18653
17,12,2004,18645
17,12,2004,18444
17,12,2004,17832
18,12,2004,16906
16,12,2004,17381
16,12,2004,17048
16,12,2004,16862
16,12,2004,16876
16,12,2004,17185
16,12,2004,18127
16,12,2004,19901
16,12,2004,20605
16,12,2004,20312
16,12,2004,19945
16,12,2004,19364
16,12,2004,18559
16,12,2004,17977
16,12,2004,17693
16,12,2004,17396
16,12,2004,17246
16,12,2004,17669
16,12,2004,18921
16,12,2004,19446
16,12,2004,19506
16,12,2004,19477
16,12,2004,19068
16,12,2004,18062
17,12,2004,16826
15,12,2004,17126
15,12,2004,16709
15,12,2004,16618
15,12,2004,16546
15,12,2004,16905
15,12,2004,17889
15,12,2004,19542
15,12,2004,20491
15,12,2004,20295
15,12,2004,19843
15,12,2004,19422
15,12,2004,19050
15,12,2004,18519
15,12,2004,18301
15,12,2004,17748
15,12,2004,17696
15,12,2004,18153
15,12,2004,19645
15,12,2004,20441
15,12,2004,20502
15,12,2004,20486
15,12,2004,20274
15,12,2004,19304
16,12,2004,18139
14,12,2004,16704
14,12,2004,16281
14,12,2004,16064
14,12,2004,16155
14,12,2004,16500
14,12,2004,17338
14,12,2004,18923
14,12,2004,19920
14,12,2004,19679
14,12,2004,19432
14,12,2004,19293
14,12,2004,19182
14,12,2004,19022
14,12,2004,18917
14,12,2004,18750
14,12,2004,18749
14,12,2004,19204
14,12,2004,20431
14,12,2004,20996
14,12,2004,20837
14,12,2004,20689
14,12,2004,20285
14,12,2004,19248
